date_filling,batch_number_gp,date_bulk_prepared,batch_number_bulk,date_aroma_added,trademark_name,label_name,quantity_units,volume,notes,packaging_type,allowed_for_shipment
,24/12/24,12/13/2024,,,Пухкенко,"Крем-суфле для тіла зі скваланом, маслом ши та мигдальною олією, RP024 ред кристал",,,,,дозволено
,24/12/24,11/5/2024,,,Пухкенко,"Крем-суфле для тіла зі скваланом, маслом ши та мигдальною олією, RP024 унікорн",,,,,дозволено
,24/12/24,11/28/2024,,,Сьомушкіна,"Лосьйон для тіла Radiant Bliss, RP024",,,,,дозволено
,12/24(1),12/23/2024,,,S033,"Сіль для ванни ""Very Berry""",,,,,дозволено
12/25/2024,12/24(1),12/25/2024,,,S071,Скраб Барбі,,,,,дозволено
,12/24(1),12/23/2024,,,S034,"Сіль для ванни ""Alfonso Mango""",,,,,дозволено
,25/12/24,11/28/2024,,,Сьомушкіна,"Лосьйон для тіла Radiant Bliss, RP024",,,,,дозволено
,25/12/24,11/29/2024,,,Сьомушкіна,"Шампунь глибокого очищення Radiant Bliss, RP017",,,,,дозволено
,25/12/24,12/6/2024,,,Сьомушкіна,"Чоловічий гель для душу Radiant Bliss, RP032",,,,,дозволено
,25/12/24,11/5/2024,,,Сьомушкіна,"Чоловічий шампунь з ніацинамідом Radiant Bliss, RP004",,,,,дозволено
,25/12/24,12/6/2024,,,Сьомушкіна,"Гель для душу Radiant Bliss, RP032 (graipfruit bergamot)",,,,,дозволено
12/26/2024,26/12/24,12/26/2024,,,Нестайко,Баттер макарон,,,,,дозволено
,26/12/24,12/26/2024,,,Нестайко,Скраб полуниця,,,,,дозволено
,26/12/24,12/26/2024,,,Нестайко,Баттер крем-брюле,,,,,дозволено
,26/12/24,12/3/2024,,,Нестайко,Скраб манго,,,,,дозволено
,26/12/24,12/6/2024,,,Crumb,"Гель для душу  Vetiver and Bergamot, RP032",,,,,дозволено
,26/12/24,12/13/2024,,,Crumb,"Лосьйон для тіла Floral Wood, RP024",,,,,дозволено
,26/12/24,12/6/2024,,,Crumb,"Гель для душу Floral Wood, RP032",,,,,дозволено
,26/12/24,12/13/2024,,,Crumb,"Лосьйон для тіла Cherry Santal, RP024",,,,,дозволено
,26/12/24,12/13/2024,,,Crumb,"Лосьйон для тіла Vetiver and Bergamot, RP024",,,,,дозволено
,26/12/24,12/6/2024,,,Crumb,"Гель-скраб Tabaco papyrus, RP109",,,,,дозволено
,26/12/24,10/21/2024,,,Crumb,"Гель для душу  Cherry Santal, RP032",,,,,дозволено
,26/12/24,12/13/2024,,,Crumb,"Лосьйон для тіла Tabaco papyrus, RP024",,,,,дозволено
,26/12/24,12/6/2024,,,Crumb,"Гель-скраб Cannabis, RP109",,,,,дозволено
,26/12/24,12/6/2024,,,Crumb,"Гель для душу  Santal Cardamon, RP032",,,,,дозволено
,26/12/24,12/13/2024,,,Crumb,"Лосьйон для тіла Santal Cardamon, RP024",,,,,дозволено
,26/12/24,12/13/2024,,,Crumb,"Лосьйон для тіла Sea Salt white musk, RP024",,,,,дозволено
